timesteps,reward
15664,-44.09999999999996
15912,-21.099999999999987
15936,-67.10000000000014
16256,-21.099999999999984
16400,-165.4000000000001
16528,-160.1000000000001
16536,-80.20000000000006
16960,-67.95000000000009
17184,-31.699999999999974
17208,-59.700000000000045
17280,-47.099999999999966
17360,-320.5999999999993
17744,-19.999999999999982
17872,-116.25000000000023
18088,-62.15000000000003
18136,-118.75000000000014
18208,-58.55000000000004
18504,-72.70000000000005
18656,-25.84999999999999
18872,-19.749999999999996
18880,-136.25000000000003
19040,-101.65000000000005
19296,-159.8500000000001
19432,-132.6500000000002
19440,-24.299999999999986
19504,-82.50000000000009
19696,-55.10000000000003
19824,1.5000000000000036
20144,-125.10000000000014
20216,-22.950000000000003
20464,-36.449999999999974
20472,-157.70000000000005
20928,-26.549999999999972
20976,-251.29999999999978
21000,-23.199999999999985
21232,-130.05000000000024
21632,-254.2999999999998
21760,-214.1999999999995
21952,-49.44999999999998
22400,-125.35000000000028
22408,-183.64999999999972
22416,-34.300000000000075
22528,-81.95000000000022
22600,-112.7000000000001
22792,-222.89999999999986
23192,-40.849999999999994
23424,-54.30000000000007
23552,-45.999999999999986
23568,-189.39999999999955
23576,-29.899999999999974
23888,-268.24999999999926
24016,-110.7000000000001
24216,-57.45
24536,-150.59999999999994
24848,-91.85000000000018
24864,-85.05000000000007
24872,-144.35000000000025
25000,-34.95000000000001
25024,-82.80000000000007
25184,-147.35000000000016
25832,-105.80000000000008
25952,-142.55000000000007
26168,-102.3500000000001
26480,-73.90000000000006
26624,-170.70000000000002
26784,-146.6000000000001
26800,-200.74999999999991
26936,-215.94999999999965
26976,-31.649999999999952
27432,-97.90000000000019
27464,-111.85000000000014
27648,-42.89999999999999
27720,-23.549999999999972
27760,-34.49999999999999
28096,-77.40000000000016
28384,-131.15000000000015
28416,-144.0000000000002
28432,-23.54999999999997
28488,-42.90000000000002
28728,-96.05000000000025
28784,-39.40000000000001
28880,-38.699999999999974
29024,-18.80000000000001
29656,-202.94999999999993
29696,-52.40000000000001
30032,-132.30000000000015
30080,-80.40000000000013
30320,-117.95000000000026
30328,-206.5
30352,-213.44999999999993
30624,-145.79999999999987
31112,-20.449999999999992
31256,-144.45000000000016
31296,-130.8500000000003
31328,-61.400000000000034
31648,-66.5000000000001
31680,-156.35000000000002
31896,-23.24999999999997
32112,-20.69999999999998
32224,-104.30000000000004
32256,-237.04999999999978
32432,-24.4
32680,-37.59999999999997
32896,-28.749999999999982
32976,-105.35000000000022
33016,5.0500000000000025
33192,-319.64999999999935
33232,-185.40000000000006
33464,-24.549999999999986
33552,-71.15000000000005
33680,-24.94999999999998
33824,-115.55000000000018
34312,-129.60000000000022
34488,-69.8500000000001
34576,-120.6500000000003
34832,-173.64999999999995
34848,-50.450000000000024
35064,-120.40000000000012
35488,-194.45000000000007
35608,-66.35000000000002
35616,-193.69999999999985
35784,-71.40000000000002
36088,-44.05000000000002
36144,-84.75000000000021
36176,-139.25000000000026
36384,13.049999999999997
36768,-215.69999999999945
36808,-40.14999999999997
37088,-156.85
37168,-22.69999999999997
37208,-125.50000000000024
37216,-110.45000000000006
37688,-137.5000000000002
37776,-180.15000000000003
38104,-79.70000000000009
38240,-69.80000000000004
38472,-33.19999999999997
38688,-132.55000000000007
38704,-379.09999999999906
38768,-156.74999999999991
38888,-23.849999999999977
39072,-121.75000000000016
39144,-244.2499999999997
39264,-117.15000000000015
39496,-33.14999999999999
39728,-45.649999999999956
39832,-13.200000000000003
39856,-51.8
40184,-89.65000000000008
40288,-130.65000000000015
40520,-38.79999999999999
40704,-208.14999999999938
40864,-110.90000000000025
41072,-21.549999999999976
41432,-242.79999999999993
41664,-265.9999999999996
41784,-142.09999999999994
41792,-205.20000000000002
41816,-137.95000000000005
42096,-40.449999999999996
42216,-37.29999999999999
42304,-135.0000000000002
42424,-25.400000000000027
42464,-103.15000000000012
42576,-23.49999999999997
42808,-61.10000000000005
42920,7.0500000000000025
43392,-68.70000000000009
43400,-116.54999999999993
43600,-70.70000000000005
43760,-115.55000000000015
43816,-148.34999999999988
43832,-63.199999999999996
44184,-26.199999999999996
44384,-22.649999999999988
44416,-50.85000000000005
44512,-186.3000000000001
44544,-23.499999999999982
44856,-246.1999999999998
44968,-19.999999999999982
45024,-70.85000000000005
45128,-92.8000000000001
45808,-111.55000000000018
45984,-143.54999999999998
46352,-177.30000000000013
46456,-179.65000000000003
46480,-167.94999999999987
46568,-163.60000000000016
46592,-20.399999999999995
46624,-99.90000000000013
47064,-243.84999999999977
47616,-65.20000000000002
47752,-49.600000000000016
47848,-41.149999999999984
47920,-174.0499999999996
47920,-101.80000000000008
48080,-161.54999999999984
48288,-190.65000000000012
48504,-132.20000000000016
48704,-39.14999999999998
48912,-60.65
49144,-81.30000000000013
49216,-86.70000000000013
49312,-33.049999999999976
49528,-39.9
49688,-231.64999999999998
49696,-45.24999999999998
50016,-179.25
50096,-21.899999999999988
50184,-62.200000000000024
50312,-24.649999999999967
50472,-24.849999999999994
50640,-192.89999999999992
50832,-8.74999999999999
50848,-9.45
51080,-243.04999999999993
51208,-50.400000000000034
51296,-134.8000000000002
51488,-45.65000000000003
51504,-29.649999999999977
51608,-99.20000000000012
51992,-28.64999999999998
52128,-69.00000000000013
52288,-23.75000000000001
52376,-90.4500000000001
52448,-109.70000000000017
52632,-66.55000000000001
52896,-151.30000000000018
52944,-21.30000000000001
53088,-104.50000000000023
53152,-61.89999999999999
53288,-95.95000000000007
53920,-51.40000000000002
54048,-148.49999999999991
54232,-180.09999999999977
